feature,OFF_RATING_corr,DEF_RATING_corr,season
OPP_FT_PCT,-0.17103424287663938,-0.07679192908241628,2014-15
OPP_OREB,0.24007997640716386,0.11090364475889784,2014-15
OPP_DREB,-0.4836013238008191,0.04433086028600006,2014-15
OPP_REB,-0.37722336024189146,0.11246992328204267,2014-15
OPP_AST,-0.12509380003515375,0.5852528487861864,2014-15
OPP_TOV,-0.10953829388423023,-0.23288946489507723,2014-15
OPP_STL,-0.38222686913118825,0.016446195598059304,2014-15
OPP_BLK,-0.4337683511947929,0.29928428256271605,2014-15
OPP_BLKA,0.04577674407328413,-0.3533599647051181,2014-15
OPP_PF,0.06886679208602806,0.20902514587856116,2014-15
OPP_PFD,-0.3361310036687626,0.24658166583992835,2014-15
OPP_PTS,-0.24833171698231227,0.9984903540702398,2014-15
FGM,0.7397030161098588,-0.5464299364157882,2015-16
FGA,0.06907754956082994,-0.09158765786399166,2015-16
FG_PCT,0.6934653677220678,-0.4894067282611434,2015-16
FG3M,0.43478631628596104,-0.3058341020650986,2015-16
FG3A,0.2806436421558916,-0.21511862789960964,2015-16
FG3_PCT,0.6433967575390802,-0.4459400475597332,2015-16
FTM,0.22988074055268895,0.20507104890703948,2015-16
FTA,0.1567459213468989,0.247248324229099,2015-16
FT_PCT,0.14578429435789206,-0.12370621080793416,2015-16
OREB,0.11546999531038164,0.25980148509973533,2015-16
DREB,0.558289432139658,-0.5952831024546352,2015-16
REB,0.4966957857106052,-0.2885066938969842,2015-16
AST,0.46394425081908025,-0.40759480847353996,2015-16
TOV,-0.21902977365844337,0.3186579396416732,2015-16
STL,0.017841751486053877,-0.20921205651072036,2015-16
BLK,0.23321000743909032,-0.38965809704125887,2015-16
BLKA,-0.45972287007117524,0.5829720575404213,2015-16
PF,-0.11309286689180942,0.37974748699511135,2015-16
PFD,0.27351628656392235,-0.024822628706414,2015-16
PTS,1.0,-0.5263586672563407,2015-16
PLUS_MINUS,0.8885850496437459,-0.8571214380367307,2015-16
AST_PCT,0.20862711814390655,-0.2371471897388871,2015-16
AST_TO,0.4897412222349427,-0.5264624840610092,2015-16
AST_RATIO,0.413475921000543,-0.40775310195749137,2015-16
OREB_PCT,0.2654714598941377,0.17242735985992355,2015-16
DREB_PCT,0.27853643446034604,-0.22316401210789655,2015-16
REB_PCT,0.5839847355265563,-0.20757057687925928,2015-16
TM_TOV_PCT,-0.2190297736584435,0.3186579396416733,2015-16
EFG_PCT,0.8032811375697149,-0.561689717487929,2015-16
TS_PCT,0.8745475495763384,-0.5475388938569872,2015-16
E_PACE,-0.05096150974909112,0.1336359449498515,2015-16
PACE,-0.04803369305649286,0.13171298810677848,2015-16
PACE_PER40,-0.047361511208248566,0.13128084088510253,2015-16
POSS,-0.007779311093868977,0.10553970796763226,2015-16
PIE,0.8441515048545883,-0.8501858923123643,2015-16
PTS_OFF_TOV,0.09665028849961368,-0.2957905559092862,2015-16
PTS_2ND_CHANCE,0.15941228385183503,0.1434607409459853,2015-16
PTS_FB,0.33071771234997366,-0.016051366030393414,2015-16
PTS_PAINT,0.11173278390581191,0.06177196580656091,2015-16
OPP_PTS_OFF_TOV,-0.3959068329595215,0.6062248044274811,2015-16
OPP_PTS_2ND_CHANCE,-0.18935116963905296,0.23941172835661112,2015-16
OPP_PTS_FB,-0.4565765135557197,0.5579459477206354,2015-16
OPP_PTS_PAINT,-0.30870764242489396,0.6010773170670498,2015-16
FTA_RATE,0.13207469063169447,0.2441424782656151,2015-16
OPP_EFG_PCT,-0.5243501173999746,0.8523275740834036,2015-16
OPP_FTA_RATE,-0.17501423771859403,0.260087401755106,2015-16
OPP_TOV_PCT,-0.09293004486198132,-0.18267856955540698,2015-16
OPP_OREB_PCT,-0.27853643446034615,0.22316401210789627,2015-16
PCT_FGA_2PT,-0.271495558103688,0.2052520870510815,2015-16
PCT_FGA_3PT,0.271495558103688,-0.2052520870510813,2015-16
PCT_PTS_2PT,-0.2719782776672219,0.11439361527072682,2015-16
PCT_PTS_2PT_MR,-0.08981594299134417,-0.11056681603295185,2015-16
PCT_PTS_3PT,0.2877076799516314,-0.23928747043373313,2015-16
PCT_PTS_FB,0.18554011350739166,0.06480007897743428,2015-16
PCT_PTS_FT,-0.08441562067911661,0.38212614638836284,2015-16
PCT_PTS_OFF_TOV,-0.19087832794322052,-0.1412043454306533,2015-16
PCT_PTS_PAINT,-0.245202990791984,0.24871660715029,2015-16
PCT_AST_2PM,0.17354455208895944,-0.11652521158497518,2015-16
PCT_UAST_2PM,-0.17354455208895972,0.11652521158497539,2015-16
PCT_AST_3PM,-0.13762297098734969,-0.2793837933141951,2015-16
PCT_UAST_3PM,0.13762297098734974,0.2793837933141949,2015-16
PCT_AST_FGM,0.20862711814390655,-0.2371471897388871,2015-16
PCT_UAST_FGM,-0.20862711814390597,0.23714718973888665,2015-16
OPP_FGM,-0.4533164807177915,0.8106551672957573,2015-16
OPP_FGA,0.1335349640448487,-0.0038712564526027678,2015-16
OPP_FG_PCT,-0.5702386539366315,0.8536619979735482,2015-16
OPP_FG3M,-0.25442956107214654,0.650796382149043,2015-16
OPP_FG3A,-0.1687028037320153,0.49987659083983466,2015-16
OPP_FG3_PCT,-0.3194282186677709,0.6480622643749452,2015-16
OPP_FTM,-0.2073741957051721,0.31628584973678103,2015-16
OPP_FTA,-0.1576402871184752,0.2882615521333212,2015-16
OPP_FT_PCT,-0.1805735877976266,0.08512300071230586,2015-16
OPP_OREB,-0.048060049518528186,0.09412203345779215,2015-16
OPP_DREB,-0.6146804401627324,0.14031500777825942,2015-16
OPP_REB,-0.5985095962916022,0.18072285622621323,2015-16
OPP_AST,-0.35917318475616683,0.696313297623894,2015-16
OPP_TOV,-0.09918479177156651,-0.18120703575280248,2015-16
OPP_STL,-0.21217516512948964,0.2733693773827216,2015-16
OPP_BLK,-0.45972287007117524,0.5829720575404213,2015-16
OPP_BLKA,0.23321000743909032,-0.38965809704125887,2015-16
OPP_PF,0.27351628656392235,-0.024822628706414,2015-16
OPP_PFD,-0.11309286689180942,0.37974748699511135,2015-16
OPP_PTS,-0.5394761205429035,0.9987676741275584,2015-16
FGM,0.7113225574821408,-0.20297674022534815,2016-17
FGA,-0.10069371860574078,-0.00512657962370355,2016-17
FG_PCT,0.7859154140722947,-0.20461538572905705,2016-17
FG3M,0.5245110714566088,-0.12366753342363114,2016-17
FG3A,0.3468682190274316,-0.0543087525839144,2016-17
FG3_PCT,0.6721669276269656,-0.24947672842486648,2016-17
FTM,0.43991321977856473,0.11834499652727445,2016-17
FTA,0.3993743778361855,0.07220577158814445,2016-17
FT_PCT,0.19501432821714107,0.10767511649994269,2016-17
OREB,0.04752209876625143,0.11775114626402824,2016-17
DREB,0.10375560107695204,-0.5461866597404916,2016-17
REB,0.10655024816735126,-0.2814482447900142,2016-17
AST,0.4854618575522808,-0.31123927581722977,2016-17
TOV,-0.15401357257175177,0.1978363445890611,2016-17
STL,0.11771578710046163,-0.3935051827158135,2016-17
BLK,0.08261203379210695,-0.5517839343006994,2016-17
BLKA,-0.3446958011616633,0.42859412450755213,2016-17
PF,-0.12199017772506256,0.2911240652322911,2016-17
PFD,0.2496472583068096,-0.11504356456334298,2016-17
PTS,1.0,-0.15913701014130668,2016-17
PLUS_MINUS,0.8387407820214866,-0.6702005315867103,2016-17
AST_PCT,0.2594771730382279,-0.26424145998444054,2016-17
AST_TO,0.4431130790303683,-0.36624477331153543,2016-17
AST_RATIO,0.46239953205960144,-0.3056554330176423,2016-17
OREB_PCT,0.20416750306285994,0.07754631771676646,2016-17
DREB_PCT,-0.06884332357323707,-0.18465117323951186,2016-17
REB_PCT,0.34246438130589546,-0.17324498242099137,2016-17
TM_TOV_PCT,-0.15401357257175205,0.19783634458906116,2016-17
EFG_PCT,0.839302794489702,-0.19697331028846063,2016-17
TS_PCT,0.8634418174632977,-0.15701572206482042,2016-17
E_PACE,0.026221771429329962,0.31785938512351286,2016-17
PACE,0.03908652273910145,0.32701399963067407,2016-17
PACE_PER40,0.039354634240954804,0.32680197776822,2016-17
POSS,0.03747444396148528,0.3215618484836041,2016-17
PIE,0.761115848485673,-0.7168216851032075,2016-17
PTS_OFF_TOV,0.28682495654337375,-0.31614755090358115,2016-17
PTS_2ND_CHANCE,0.0748368778377725,0.09207733776145421,2016-17
PTS_FB,0.3072349657031683,0.002690009730993746,2016-17
PTS_PAINT,0.1305936051396847,0.1648328371730216,2016-17
OPP_PTS_OFF_TOV,-0.07032135958410163,0.4711257758562792,2016-17
OPP_PTS_2ND_CHANCE,0.19873496401357596,0.2938542515724828,2016-17
OPP_PTS_FB,-0.12464803452348228,0.3974080167256774,2016-17
OPP_PTS_PAINT,0.2049911385168282,0.3637759337433085,2016-17
FTA_RATE,0.3674416278190669,0.06634747379943223,2016-17
OPP_EFG_PCT,-0.23535613596884047,0.820980477883349,2016-17
OPP_FTA_RATE,-0.15920206536970016,0.27191553739171886,2016-17
OPP_TOV_PCT,-0.03922904016076551,-0.33491772272817255,2016-17
OPP_OREB_PCT,0.06884332357323861,0.18465117323951064,2016-17
PCT_FGA_2PT,-0.34308752146949506,0.05209962483976523,2016-17
PCT_FGA_3PT,0.3430875214694952,-0.052099624839765345,2016-17
PCT_PTS_2PT,-0.3916360166824193,0.04373266360699463,2016-17
PCT_PTS_2PT_MR,-0.19884191882836322,-0.13046561852683972,2016-17
PCT_PTS_3PT,0.3656478229141891,-0.10635515969403496,2016-17
PCT_PTS_FB,0.16706184173173624,0.041122149759544,2016-17
PCT_PTS_FT,0.08290969384613171,0.1879787475484433,2016-17
PCT_PTS_OFF_TOV,-0.10010657420275995,-0.25503921663206447,2016-17
PCT_PTS_PAINT,-0.26284391103048277,0.2179323046312085,2016-17
PCT_AST_2PM,0.25610717040316,-0.278359889155821,2016-17
PCT_UAST_2PM,-0.25610717040315994,0.27835988915582116,2016-17
PCT_AST_3PM,-0.2110381897432402,-0.05298729598929111,2016-17
